City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Tonekabon,IR,66.2,overcast clouds,36.82,50.87,Hotel Sadra
640,Shalya,RU,51.91,clear sky,57.25,58.73,
641,Khomeyn,IR,60.58,clear sky,33.64,50.08,فروشگاه رنگ و ابزار عصاری
644,Concordia,AR,57.0,clear sky,-31.39,-58.02,Palmar Hotel Casino
645,Whittlesea,ZA,50.18,overcast clouds,-32.18,26.82,Eddie's Nest B&B
647,Kreuztal,DE,55.99,overcast clouds,50.97,7.98,Landgasthof Scherer
649,Nome,US,53.6,overcast clouds,64.5,-165.41,Dredge 7 Inn
650,Kiruna,SE,46.4,scattered clouds,67.86,20.23,Camp Ripan
651,Sangar,RU,49.14,overcast clouds,63.92,127.47,
652,Hay River,CA,55.4,broken clouds,60.82,-115.8,Ptarmigan Inn Hotels
653,Sutton,GB,57.99,overcast clouds,51.35,-0.2,Holiday Inn London - Sutton
654,Mahanoro,MG,63.41,scattered clouds,-19.9,48.8,Hôtel Mon Désir
657,Seymchan,RU,45.09,overcast clouds,62.88,152.43,
660,Ust-Kuyga,RU,45.81,scattered clouds,70.02,135.6,
661,Kichera,RU,58.93,light rain,55.94,110.1,
663,Kozlovo,RU,61.93,overcast clouds,56.52,36.27,
666,Lensk,RU,63.9,clear sky,60.73,114.93,ТинОрС
669,Polovinnoye,RU,54.66,clear sky,54.79,65.99,
671,Kurikka,FI,55.4,scattered clouds,62.62,22.42,Hotel Kurikka
672,Huarmey,PE,59.97,few clouds,-10.07,-78.15,Hotel Miramar
677,Tarko-Sale,RU,60.01,scattered clouds,64.92,77.78,Yubileynaya
678,Colesberg,ZA,45.9,broken clouds,-30.72,25.1,Bhelekazi Guesthouse
686,Guapore,BR,54.0,clear sky,-28.85,-51.89,Hotel Topo Gigio
688,Ondjiva,AO,60.58,scattered clouds,-17.07,15.73,SOS Motel
