City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Pachino,IT,36.72,15.09,73.0,73.0,76,0,7.25,clear sky
203,Villarrobledo,ES,39.27,-2.6,71.01,64.99,86,1,1.99,clear sky
204,Najran,SA,17.49,44.13,82.4,82.4,24,100,2.24,overcast clouds
205,Barra Dos Coqueiros,BR,-10.91,-37.04,75.2,75.2,78,20,3.36,few clouds
206,Tuskegee,US,32.42,-85.69,75.0,73.99,100,100,1.01,overcast clouds
207,Fairbanks,US,64.84,-147.72,69.8,62.01,49,90,8.05,light rain
208,Alekseyevka,RU,50.63,38.69,58.05,58.05,60,3,3.15,clear sky
209,Seoul,KR,37.57,126.98,87.8,87.8,58,40,4.7,scattered clouds
210,Bandar-E Lengeh,IR,26.56,54.88,89.6,89.6,75,1,13.87,haze
211,Kuala Terengganu,MY,5.33,103.14,84.2,84.0,83,40,2.24,scattered clouds
212,Ponta Do Sol,PT,32.67,-17.1,75.2,70.0,60,20,19.46,few clouds
213,Serchhip,IN,23.3,92.83,80.92,80.92,71,13,0.2,few clouds
214,Bulolo,PG,-7.2,146.65,81.55,81.55,55,96,2.46,light rain
215,San Miguel El Alto,MX,21.02,-102.35,60.46,60.46,80,23,2.62,light rain
216,Sao Joao Da Barra,BR,-21.64,-41.05,63.55,63.55,74,6,11.1,clear sky
217,Veshenskaya,RU,49.63,41.73,58.41,58.41,63,1,1.19,clear sky
218,Campos Novos,BR,-27.4,-51.23,46.13,46.13,93,0,8.21,clear sky
219,Tonantins,BR,-2.87,-67.8,71.13,71.13,69,0,2.04,clear sky
220,Bharatpur,IN,27.22,77.48,82.44,82.44,79,43,11.05,scattered clouds
221,Mitchell,US,43.71,-98.03,78.8,78.8,69,1,6.93,clear sky
222,Sitka,US,57.05,-135.33,57.2,57.2,87,90,3.36,mist
223,Cidreira,BR,-30.18,-50.21,60.48,60.48,84,0,14.23,clear sky
224,Yellowknife,CA,62.46,-114.35,59.0,55.99,62,20,5.82,few clouds
225,Kasempa,ZM,-13.46,25.83,53.4,53.4,78,45,6.2,scattered clouds
226,Bonavista,CA,48.65,-53.11,60.01,60.01,82,82,11.01,broken clouds
227,Glendive,US,47.11,-104.71,75.2,73.99,29,1,10.29,clear sky
228,Hervey Bay,AU,-25.3,152.85,69.8,69.8,19,0,10.29,clear sky
229,Tuatapere,NZ,-46.13,167.68,60.01,60.01,72,8,5.32,clear sky
230,Poso,ID,-1.4,120.75,88.11,88.11,46,30,1.63,scattered clouds
231,Salalah,OM,17.02,54.09,75.2,75.2,100,90,6.93,light intensity drizzle
232,Csaszartoltes,HU,46.42,19.18,66.0,66.0,59,97,8.93,overcast clouds
233,San Patricio,MX,19.22,-104.7,80.83,80.83,82,89,2.06,overcast clouds
234,Suzun,RU,53.78,82.31,62.98,62.98,70,38,3.83,scattered clouds
235,Klaksvik,FO,62.23,-6.59,44.6,44.6,93,95,1.12,overcast clouds
236,Svetlogorsk,BY,52.63,29.73,62.83,62.83,98,100,4.9,overcast clouds
237,Northam,GB,51.03,-4.22,60.01,57.99,94,100,1.01,moderate rain
238,Gao,ML,16.64,1.64,88.02,88.02,45,100,12.03,overcast clouds
239,Rosa Zarate,EC,0.33,-79.47,72.61,72.61,84,100,2.24,overcast clouds
240,Iberia,US,29.95,-91.75,80.6,75.99,78,1,4.7,clear sky
241,Jibuti,DJ,11.5,42.5,89.6,89.6,59,40,11.01,haze
242,Larsnes,NO,62.2,5.58,48.0,45.0,86,96,8.01,light rain
243,Lae,PG,-6.72,146.98,81.99,81.99,71,98,8.99,light rain
244,Anqing,CN,30.51,117.05,92.77,92.77,58,0,8.86,clear sky
245,Severo-Kurilsk,RU,50.68,156.12,54.64,54.64,83,54,4.9,broken clouds
246,Lompoc,US,34.64,-120.46,70.0,68.0,77,1,9.17,clear sky
247,Zhezkazgan,KZ,47.8,67.71,62.6,62.6,63,75,15.66,broken clouds
248,Rzhaksa,RU,52.13,42.03,55.53,55.53,72,11,4.99,few clouds
249,Ville-Marie,CA,47.33,-79.43,62.6,62.6,93,75,3.36,broken clouds
250,Verona,IT,45.42,11.03,66.0,62.01,93,79,3.36,broken clouds
251,La Romana,DO,18.43,-68.97,78.8,78.8,94,75,9.1,broken clouds
252,San Andres,CO,12.58,-81.7,80.6,80.6,88,40,2.1,scattered clouds
